SEND to VMs 1, 2 | System Time: 1741195264.8733 | Logical Clock: 190 | Message Clock Sent: 189
SEND to VM 2 | System Time: 1741195265.0466 | Logical Clock: 191 | Message Clock Sent: 190
SEND to VMs 1, 2 | System Time: 1741195265.2202 | Logical Clock: 192 | Message Clock Sent: 191
INTERNAL | System Time: 1741195265.3940 | Logical Clock: 193 | 
SEND to VMs 1, 2 | System Time: 1741195265.5644 | Logical Clock: 194 | Message Clock Sent: 193
SEND to VM 2 | System Time: 1741195265.7338 | Logical Clock: 195 | Message Clock Sent: 194
SEND to VM 1 | System Time: 1741195265.9066 | Logical Clock: 196 | Message Clock Sent: 195
SEND to VM 1 | System Time: 1741195266.0782 | Logical Clock: 197 | Message Clock Sent: 196
SEND to VM 2 | System Time: 1741195266.2493 | Logical Clock: 198 | Message Clock Sent: 197
SEND to VM 2 | System Time: 1741195266.4180 | Logical Clock: 199 | Message Clock Sent: 198
SEND to VMs 1, 2 | System Time: 1741195266.5909 | Logical Clock: 200 | Message Clock Sent: 199
SEND to VM 1 | System Time: 1741195266.7595 | Logical Clock: 201 | Message Clock Sent: 200
INTERNAL | System Time: 1741195266.9326 | Logical Clock: 202 | 
INTERNAL | System Time: 1741195267.1048 | Logical Clock: 203 | 
SEND to VM 1 | System Time: 1741195267.2751 | Logical Clock: 204 | Message Clock Sent: 203
INTERNAL | System Time: 1741195267.4453 | Logical Clock: 205 | 
SEND to VM 2 | System Time: 1741195267.6181 | Logical Clock: 206 | Message Clock Sent: 205
SEND to VM 2 | System Time: 1741195267.7885 | Logical Clock: 207 | Message Clock Sent: 206
SEND to VM 2 | System Time: 1741195267.9613 | Logical Clock: 208 | Message Clock Sent: 207
SEND to VM 2 | System Time: 1741195268.1318 | Logical Clock: 209 | Message Clock Sent: 208
SEND to VM 2 | System Time: 1741195268.3047 | Logical Clock: 210 | Message Clock Sent: 209
INTERNAL | System Time: 1741195268.4783 | Logical Clock: 211 | 
